,Unnamed: 0,surface_x,surface_y,bh_x,bh_y,standardized_operator_name,gross_perforated_length,number_of_stages,total_proppant,total_fluid,true_vertical_depth,ffs_frac_type,proppant_intensity,frac_fluid_intensity,average_stage_length,average_proppant_per_stage,average_frac_fluid_per_stage,proppant_to_frac_fluid_ratio,frac_fluid_to_proppant_ratio,bin_lateral_length,pad_id,relative_well_position,batch_frac_classification,well_family_relationship,frac_type,frac_seasoning,horizontal_midpoint_x,horizontal_midpoint_y,horizontal_toe_x,horizontal_toe_y,OilPeakRate
2056,2056,996345.7409,631200.5774,994477.7523,626883.1827,1349,4517.7165350000005,20.0,616027.0714,1810896.28,7113.188976,Slickwater Crosslink Hybrid,136.35806200000002,400.8432725,225.8858268,30801.35357,90544.81401,0.340177998,2.9396375,1.0,100800,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,43.0,994625.9818,629110.4062,994170.8132,627030.9736,324.64385980000003
2059,2059,1207020.577,663176.5142,1212024.231,661634.6844,1213,4483.267717000001,15.0,483256.9286,2087504.894,8284.448819,Slickwater Crosslink Hybrid,107.7912271,465.6212893,298.8845144,32217.12857,139166.99300000002,0.231499782,4.31965849,1.0,105185,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,30.0,1209733.619,661726.9069,1211911.447,661277.6635,146.3643084
2068,2068,1059181.583,765922.9269,1064101.015,764862.0374,1030,4184.055118,18.0,403851.5714,1395924.0159999998,10179.13386,Slickwater Crosslink Hybrid,96.52157059,333.629452,232.4475066,22436.19841,77551.33422,0.289307704,3.456527385,1.0,108828,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,26.0,1062052.772,765045.1691,1064056.515,764683.3797,243.05849
2075,2075,1223969.557,669523.7524,1216615.592,670310.3085,1213,6797.244094,23.0,741390.4286,3203482.924,8343.503937000001,Slickwater Crosslink Hybrid,109.07220900000002,471.2914351,295.5323519,32234.36646,139281.8663,0.2314326139999999,4.320912168,1.5,117442,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,23.0,1220021.215,670228.9593,1216689.029,670814.925,215.6905096
2083,2083,1118600.215,714312.8735,1111024.578,715083.7554,1343,6315.944882,23.0,695830.3571,3005921.739,9167.322835,Slickwater Only,110.170429,475.9258979,274.6062992,30253.49379,130692.2495,0.231486518,4.319906006,1.5,111087,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,17.0,1114454.199,714999.2679999999,1111102.889,715628.2863,298.6087764
2125,2125,1016886.267,783897.3122,1023998.256,782621.9393,1205,6484.251969,28.0,883032.7857,3652544.565,11513.77953,Slickwater Crosslink Hybrid,136.18113390000002,563.2946688,231.5804274,31536.8852,130448.0202,0.241758251,4.136363479,1.5,100198,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,108.0,1020737.694,782904.5932,1023897.978,782151.1886,282.94052
2126,2126,1016918.668,783892.6005,1023958.497,782399.0662,1205,6439.96063,29.0,881569.5714,3747482.08,11681.10236,Slickwater Crosslink Hybrid,136.8905219,581.9107127,222.0676079,30398.95074,129223.52,0.235243172,4.250920405,1.5,100198,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,92.0,1020617.958,782586.1705,1023843.558,781934.2658,343.4357674
2142,2142,1089312.351,641443.7079,1084563.854,642009.6244,1213,3850.393701,27.0,579327.4286,2938970.955,9236.220472,Slickwater Only,150.4592708,763.2910251000001,142.60717409999998,21456.57143,108850.7761,0.19711914,5.073074068,1.0,104440,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,43.0,1086682.898,641951.2223,1084615.811,642351.1811,266.7500413
2144,2144,1318395.019,706543.3736,1318482.405,710482.6597,1008,2991.141732,13.0,190982.2857,1141931.677,5346.456693,Slickwater Crosslink Hybrid,63.84929328,381.7711693,230.0878256,14690.94505,87840.89821,0.1672449319999999,5.979254424,1.0,113976,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,20.0,1318452.543,708885.5837,1318766.721,710462.2001,227.3333685
2145,2145,1319601.496,706468.4651,1319789.206,710287.5645,1008,2966.535433,13.0,165047.6429,1123765.674,5352.362204999999,Slickwater Crosslink Hybrid,55.63649806,378.8141754,228.1950333,12695.97253,86443.51337999999,0.146870159,6.808735069,1.0,117712,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,25.0,1319750.789,708755.6281,1320065.387,710263.6440000001,182.6309806
2152,2152,1039542.028,628465.0001,1034505.002,629509.62,1349,4537.401575,15.0,456912.2143,1513120.5680000002,7356.299212999999,Slickwater Crosslink Hybrid,100.699091,333.4773311,302.4934383,30460.81429,100874.7045,0.301966825,3.311622058,1.0,117182,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,10.0,1036771.799,629381.5925,1034596.735,629881.4692,399.1714903
2153,2153,1039586.265,628518.176,1034320.452,628200.2413,1349,4544.291339,24.0,863402.0,3330699.563,7277.559055,Slickwater Only,189.9970613,732.9414676,189.3454724,35975.08333,138779.1485,0.259225422,3.857646337,1.0,117182,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,37.0,1036004.971,628234.2475,1034314.334,628578.8872,378.845892
2164,2164,1043572.789,622128.5054,1038794.152,622138.3784,1349,4722.440945,25.0,848422.5714,4246254.443,7174.212598,Slickwater Only,179.657635,899.1651759,188.8976378,33936.90286,169850.1777,0.19980493,5.004881513,1.0,113818,Outer Well,Batch-Sequential Frac,Sibling Well,Primary Frac,13.0,1040876.524,622030.9391,1038807.796,622481.6858,329.924932
2201,2201,1021745.03,614940.7999,1026368.709,614588.3786,1349,4182.086614,22.0,835007.1429,3318459.728,7314.96063,Slickwater Only,199.6628047,793.4937829,190.0948461,37954.87013,150839.0785,0.251624914,3.974169271,1.0,104362,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,23.0,1024507.628,614882.6971,1026381.052,614484.4549,188.22538630000005
2213,2213,1039269.201,630048.1743,1034690.034,630822.0581,1349,4135.826771999999,13.0,660562.0,1884645.292,7327.755906,Slickwater Crosslink Hybrid,159.7170376,455.68767639999993,318.1405209,50812.46154,144972.7147,0.350496724,2.853093717,1.0,107022,Inner Well,Non-Batch Frac,Infill Child Well,Primary Frac,27.0,1036793.944,630679.6966,1034758.491,631147.9441,345.3252915
2251,2251,1036648.824,611793.3307,1026873.891,613450.8702,1349,9231.299213,45.0,1502021.7140000002,6251639.956,8807.086614,Slickwater Only,162.7096771,677.2221127,205.1399825,33378.26032,138925.3323,0.240260432,4.162150185,2.0,115962,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,36.0,1031318.677,613261.6432,1027017.906,614149.9179,359.0169603
2267,2267,1007799.244,668928.1377,1000553.312,670508.2498,1213,6719.488189,23.0,709743.9286,3281319.508,7729.330709000001,Slickwater Crosslink Hybrid,105.6247007,488.3287857,292.1516604,30858.43168,142666.0656,0.21629833,4.623244209,1.5,111733,Inner Well,Non-Batch Frac,Infill Child Well,Primary Frac,50.0,1003934.92,670171.652,1000531.202,670894.2768,257.9397225
2296,2296,1257229.368,720701.5732,1258567.986,726218.1114,1213,5004.92126,34.0,581230.0714,3028390.469,9117.125984,Slickwater Only,116.1317114,605.0825401000001,147.2035665,17095.0021,89070.3079,0.1919270569999999,5.210312779,1.0,102021,Standalone Well,Batch-Sequential Frac,Standalone Well,Primary Frac,33.0,1258533.365,723660.18,1258963.512,726102.5684,188.2381244
2302,2302,1074535.154,647015.7165,1073822.414,642292.7407,1289,4075.787402,32.0,652065.0,1729521.2680000002,9149.606299,Slickwater Crosslink Hybrid,159.9850374,424.3404028,127.3683563,20377.03125,54047.53961,0.377020516,2.652375557,1.0,108634,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,32.0,1073913.2,644135.6099,1073471.116,642271.9226,297.979638
2316,2316,1010752.713,693029.0166,1004507.36,693995.5558,1213,6307.086614,42.0,896832.8571,5826987.128,10588.58268,Linear Only,142.194473,923.8793574,150.16872890000002,21353.16327,138737.7888,0.153910218,6.497294431,1.5,116739,Unknown,Unknown,Unknown,Primary Frac,44.0,1007980.753,693458.0089,1004785.254,693952.5486,254.9504363
2319,2319,1012599.91,630134.642,1023065.621,627984.3817,1025,9650.590551,50.0,2057445.857,9382396.197,8877.952756,Slickwater Linear Hybrid,213.1937778,972.2095396,193.011811,41148.91714,187647.9239,0.2192878889999999,4.560215359,2.0,108679,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,124.0,1018002.822,628278.7721,1022883.48,627247.6947,361.6721988
2322,2322,1020156.989,640809.1208,1009401.711,642832.0705,1025,9555.11811,50.0,1685596.0,7849347.535,9973.425197,Slickwater Linear Hybrid,176.4076572,821.4809534,191.1023622,33711.92,156986.9507,0.2147434539999999,4.656719365,2.0,109595,Inner Well,Batch-Concurrent Frac,Sibling Well,Primary Frac,88.0,1014218.851,642574.2099,1009489.66,643664.8112,148.81145159999997
2325,2325,1012503.074,630151.4147,1023066.053,627987.4492,1025,9619.094488,50.0,1642335.071,8173951.788,9781.496063,Slickwater Linear Hybrid,170.7369725,849.7631246,192.3818898,32846.70143,163479.0358,0.2009230189999999,4.977030528,2.0,108679,Outer Well,Batch-Concurrent Frac,Sibling Well,Primary Frac,97.0,1017962.732,628295.464,1022884.646,627244.7845,189.1037197
2327,2327,1012549.474,630141.7479,1023067.329,628387.6995,1025,9667.322835,50.0,1674513.6430000002,7650066.018999999,9456.692913,Slickwater Linear Hybrid,173.2137916,791.3324247,193.3464567,33490.272860000005,153001.3204,0.218888783,4.568530123,2.0,108679,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,129.0,1017994.62,628718.9755,1022913.706,627647.7738,229.1456386
2328,2328,1020106.556,640816.2438,1009346.799,642417.2857,1025,9602.362205,50.0,1679875.071,7862422.407000001,9714.566929,Slickwater Linear Hybrid,174.9439394,818.8008575,192.0472441,33597.501430000004,157248.4481,0.213658715,4.68036138,2.0,109595,Outer Well,Batch-Concurrent Frac,Sibling Well,Primary Frac,90.0,1014083.359,642191.5755,1009410.586,643268.8958,239.137537
2329,2329,1020131.772,640812.6823,1009460.664,643249.4146,1025,9653.543307,50.0,1680137.5,7713491.409,9695.866142,Slickwater Linear Hybrid,174.04360730000002,799.0321443,193.0708661,33602.75,154269.8282,0.21781803,4.590988183,2.0,109595,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,88.0,1014463.405,642903.7292,1009597.086,644096.4865,181.6864567
2377,2377,1047570.728,614819.8601,1037886.419,615293.3567,1349,9501.968504,33.0,1984566.429,7696600.001,9440.944882,Slickwater Only,208.8584516,810.0005801,287.9384395,60138.37662,233230.3031,0.257849756,3.878227451,2.0,103225,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,32.0,1042228.481,615083.993,1037920.771,616046.6666,191.048601
2379,2379,1074672.876,646924.3504,1073795.137,642177.8791,1289,4158.464567,42.0,749216.4286,4511957.698,9673.228346,Slickwater Crosslink Hybrid,180.1666015,1085.005686,99.01106112,17838.486390000002,107427.5642,0.166051297,6.0222354000000005,1.0,113966,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,52.0,1073976.3390000002,644289.7376,1073435.417,642172.2293,165.4932796
2402,2402,1081771.695,773151.8174,1086662.748,773159.8642,1030,4496.062992,23.0,500660.7143,1984170.807,10440.94488,Slickwater Only,111.3553603,441.3129466,195.4809997,21767.85714,86268.29596,0.252327427,3.963104654,1.0,110446,Inner Well,Batch-Concurrent Frac,Sibling Well,Primary Frac,49.0,1084456.3,773289.3534,1086652.199,772806.1784,393.0616085
2412,2412,1010772.841,692140.0469,1003641.056,692766.2931,1213,6573.818898,45.0,867902.8571,6219127.223999999,10589.56693,Slickwater Crosslink Hybrid,132.0241507,946.0448061,146.0848644,19286.73016,138202.8272,0.139553803,7.16569507,1.5,105511,Standalone Well,Batch-Sequential Frac,Standalone Well,Primary Frac,38.0,1006769.94,692763.8061,1003623.235,693423.0059,236.7738462
2478,2478,1004101.324,695682.0088,1011093.792,694414.3724,1213,6629.92126,45.0,967479.5,6438476.615,10587.59843,Slickwater Linear Hybrid,145.9262429,971.1241451,147.3315836,21499.54444,143077.2581,0.150265281,6.654897200000001,1.5,106853,Standalone Well,Batch-Sequential Frac,Standalone Well,Primary Frac,20.0,1007798.321,694615.6131,1010985.989,693989.1295,223.3928917
2484,2484,1081775.702,773179.3772,1086733.0890000002,773643.6224,1030,4415.3543310000005,23.0,498232.1429,1976606.806,10076.77165,Slickwater Linear Hybrid,112.8408063,447.6666328,191.9719274,21662.26708,85939.42633999999,0.252064367,3.967240641,1.0,110446,Inner Well,Batch-Concurrent Frac,Infill Child Well,Primary Frac,47.0,1084636.163,773723.4369,1086754.213,773283.7734,223.80158230000004
2697,2697,1138638.389,760848.4493,1146114.375,759943.5174,1213,6897.637795000001,44.0,987765.0,4738873.305,10092.51969,Slickwater Only,143.2033733,687.0284357,156.76449530000002,22449.20455,107701.666,0.208438786,4.797571593,1.5,101569,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,22.0,1142616.131,760174.8245,1146028.99,759405.515,654.2723235000001
3964,3964,1077220.886,850169.9585,1081709.905,849263.243,1121,3814.96063,13.0,470285.7143,2842774.249,9283.464567,Slickwater Crosslink Hybrid,123.2740675,745.1647671000001,293.45851,36175.82418,218674.9423,0.165431959,6.044781211,1.0,113175,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,14.0,1079686.477,849579.7898,1081672.757,849101.9827,142.1547839
4006,4006,1074241.105,834368.1982,1069703.562,835270.5778,1121,3969.488189,18.0,420430.7143,1941979.801,9319.88189,Slickwater Only,105.9155977,489.2267487,220.5271216,23357.2619,107887.7667,0.216495926,4.619024573,1.0,108124,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,25.0,1071661.731,835070.0728,1069804.547,835579.3957,231.2143215
4023,4023,1071652.402,777491.1967,1076352.715,776819.9965,1030,3507.874016,10.0,120762.63,619801.5483,8682.086614,Slickwater Crosslink Hybrid,34.42615939,176.6886569,350.7874016,12076.263,61980.15482999999,0.194840801,5.132395248,1.0,109599,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,70.0,1074494.825,777021.6784,1076322.321,776641.0816,54.72275847
4049,4049,1068687.1609999998,830960.3871,1063892.6,831715.3496,1121,4080.708661,13.0,466142.8571,3125833.817,9281.496063,Slickwater Only,114.2308593,766.0026912999999,313.9006663,35857.14286,240448.7552,0.149125924,6.705742176,1.0,111632,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,44.0,1066029.071,831542.1169,1063924.268,831889.0356,80.92858395
4050,4050,1068943.015,832700.3801,1064132.282,833395.3705,1121,4262.795276,24.0,992978.5714,5688869.927999999,9306.102362,Slickwater Crosslink Hybrid,232.9407131,1334.539794,177.6164698,41374.10714,237036.247,0.174547596,5.729096369,1.0,100415,Outer Well,Batch-Sequential Frac,Sibling Well,Primary Frac,31.0,1066255.816,833193.0125,1064160.028,833566.8941,144.5394312
4092,4092,1064541.665,841448.4501,1060013.233,842112.3886,1213,3974.409449,28.0,492332.4286,2622863.906,9443.897638,Undefined,123.8756185,659.9380209,141.9431946,17583.30102,93673.71093,0.187707958,5.32742463,1.0,113762,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,31.0,1061928.177,842023.4381,1060073.106,842436.4368,170.4643121
4096,4096,1068822.272,831804.2904,1064015.125,832523.6649,1121,4123.0314960000005,24.0,990142.8571,5741274.698,9289.370079,Undefined,240.1492344,1392.488683,171.792979,41255.95238,239219.7791,0.1724604569999999,5.798430657000001,1.0,100957,Inner Well,Batch-Sequential Frac,Infill Child Well,Primary Frac,36.0,1066069.798,832413.4511,1064082.415,832869.7831,133.16668729999998
4154,4154,1274182.836,815423.2073,1267201.094,816275.2971,1213,6406.4960630000005,17.0,365221.625,1635248.316,10605.31496,Undefined,57.00801521,255.2484696,376.8527096,21483.625,96191.07739,0.22334322,4.477413723,1.5,110362,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,25.0,1270423.455,816144.8744,1267284.496,816781.175,279.3321861
4191,4191,1025655.774,795495.7446,1018821.082,796655.1092,1205,6201.771654,44.0,383845.1429,2406096.372,9200.787402,Slickwater Crosslink Hybrid,61.892821,387.9691976,140.9493558,8723.753247,54684.008460000005,0.159530245,6.268403853,1.5,111779,Inner Well,Batch-Sequential Frac,Infill Child Well,Primary Frac,125.0,1022040.203,796472.7641,1018933.254,797157.7876,130.7878604
4192,4192,1025376.547,794311.6645,1018616.186,795325.2273,1205,6004.92126,16.0,406031.4286,2638224.4080000003,9094.488189,Slickwater Only,67.61644508,439.343714,375.3075787,25376.96429,164889.0255,0.153903295,6.497586696,1.0,117940,Inner Well,Batch-Concurrent Frac,Sibling Well,Primary Frac,102.0,1021816.992,795158.7987,1018708.397,795811.8913,186.7619337
4299,4299,1368911.97,929198.9901,1368908.8569999998,934044.6695,1275,4305.11811,11.0,38608.85714,181014.9328,8019.685039,Undefined,8.968129597,42.04644986,391.3743737,3509.896104,16455.902980000003,0.213291006,4.688430225,1.0,104444,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,20.0,1369088.499,931764.3652,1369263.397,934030.7456,129.8555757
4318,4318,1239153.9009999998,740166.3791,1234761.443,741118.0041,1018,3733.267717,11.0,149365.0714,990516.5819,9348.425197,Undefined,40.00920447,265.3216048,339.38797420000003,13578.64286,90046.96199,0.150795125,6.631514131,1.0,109230,Inner Well,Non-Batch Frac,Infill Child Well,Primary Frac,84.0,1236623.659,740707.3839,1234699.104,741260.1238,72.03572543
4380,4380,1162919.675,854326.5426,1167798.305,853613.3222,1325,4027.559055,20.0,227754.9286,883205.6367,11000.0,Slickwater Crosslink Hybrid,56.54912205,219.2905491,201.3779528,11387.74643,44160.28183,0.2578730469999999,3.877877165,1.0,114582,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,18.0,1165620.981,853758.0138,1167675.541,853282.8703,136.1293861
4381,4381,1162880.081,854332.4069,1158001.0359999998,855042.5636,1325,4132.874016,20.0,228370.1429,894846.1385,11122.04724,Slickwater Crosslink Hybrid,55.25698146,216.5190942,206.6437008,11418.50714,44742.30692,0.2552060439999999,3.918402499,1.0,114582,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,19.0,1160109.017,854963.0387,1158068.881,855401.8919,145.3309749
4403,4403,1125786.4,857226.1845,1121101.092,858448.0218,1343,4237.204724,11.0,191178.5714,873821.9352,11171.25984,Slickwater Only,45.11903103,206.2260363,385.2004295,17379.870130000003,79438.35775,0.218784358,4.570710664,1.0,105840,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,7.0,1123221.245,858107.553,1121233.478,858813.9597,232.4405122
4450,4450,1263858.395,725116.4832,1263155.519,720563.0745,1213,3850.393701,11.0,236065.8571,1076769.667,9060.03937,Crosslink Only,61.30953754,279.6518357,350.035791,21460.53247,97888.15151,0.219235241,4.561310474,1.0,111855,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,40.0,1263214.218,722498.1145,1262799.257,720637.8292,259.761945
4462,4462,1125712.146,854611.9761,1130443.917,853902.4954,1343,4064.96063,16.0,140880.4945,978360.1514,11184.05512,Slickwater Only,34.65728388,240.6813351,254.0600394,8805.030906999998,61147.50946,0.143996558,6.944610429,1.0,111396,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,17.0,1128203.982,854111.3531,1130043.771,853510.8954,239.2087955
4482,4482,1267639.664,820545.3159,1274830.629,819415.6786,1213,6470.472441,17.0,362941.6429,1606358.249,10419.29134,Undefined,56.09198496,248.25980840000005,380.6160259,21349.5084,94491.66168,0.22594066,4.425940865,1.5,101539,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,21.0,1271548.8590000002,819627.7651,1274725.556,818897.8663,169.77423259999998
4494,4494,1045589.986,853758.6152,1054214.422,852492.0321,1213,8051.181102,50.0,889073.0,4919840.261,9657.480315,Undefined,110.4276489,611.0706242000001,161.023622,17781.46,98396.80523,0.180711762,5.533674132000001,1.5,117084,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,52.0,1050219.929,852755.8932,1054096.303,851871.8719,379.2024396
4495,4495,1045426.661,852626.9281,1055293.506,850832.8741,1213,7216.535433,49.0,1050409.071,5592992.818,9615.15748,Slickwater Crosslink Hybrid,145.555867,775.0246457999999,147.2762333,21436.919830000003,114142.7106,0.1878080489999999,5.324585412,1.5,115937,Outer Well,Batch-Sequential Frac,Sibling Well,Primary Frac,28.0,1050694.924,851119.0908,1055137.744,850123.0713,314.1905248
4505,4505,1107912.887,845692.4278,1103169.78,846398.8555,1025,3770.669291,14.0,266931.9286,724206.6121,10763.77953,Slickwater Crosslink Hybrid,70.79165738,192.0631474,269.33352080000003,19066.56633,51729.04372,0.368585324,2.713076011,1.0,102354,Inner Well,Non-Batch Frac,Infill Child Well,Primary Frac,38.0,1105072.652,846300.9118,1103231.506,846735.0842,112.271192
4507,4507,1215669.632,796981.2243,1210957.784,797756.3657,1213,9284.448819,60.0,1317902.5,9144117.915,11282.48031,Slickwater Only,141.9473063,984.8853813,154.7408136,21965.04167,152401.9653,0.144125711,6.938387259,2.0,115300,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,16.0,1210495.899,798515.4053,1205989.721,799642.6413,378.9873602
4514,4514,1260217.518,733365.7888,1264936.312,732684.8251,1213,4163.385827,11.0,234992.2143,958644.1484,9289.370079,Crosslink Only,56.4425744,230.2558995,378.4896206,21362.92857,87149.46802999999,0.2451297639999999,4.079471957,1.0,114475,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,22.0,1262886.43,732742.9547,1264855.718,732320.1343,264.7794061
4536,4536,1253549.81,759124.8665,1254266.4740000002,763889.848,1343,3996.062992,10.0,186320.7143,914983.2249,9752.952756,Slickwater Crosslink Hybrid,46.62607037,228.9711716,399.6062992,18632.07143,91498.32249,0.203632929,4.910797108,1.0,105228,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,23.0,1254180.067,761747.993,1254609.305,763824.3797,149.02935980000004
4548,4548,1248276.678,722745.7031,1248877.966,727359.4147,1213,3939.96063,14.0,441741.3571,1880320.791,9101.377953,Undefined,112.11821609999998,477.2435483,281.42575930000004,31552.95408,134308.6279,0.23492872,4.256610255,1.0,108509,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,27.0,1248885.027,725366.9423,1249202.592,727294.5961,240.6547991
4552,4552,1204819.009,796449.998,1194990.078,797893.9377,1213,4379.92126,12.0,260138.1429,924730.1431,11464.56693,Undefined,59.39333778,211.12939900000003,364.9934383,21678.17857,77060.84526,0.2813124939999999,3.5547656830000003,1.0,110787,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,40.0,1200031.982,797443.2424,1195958.164,798429.9264,117.6647007
4566,4566,1105700.832,826984.9414,1110395.7659999998,826300.7557,1213,4120.07874,11.0,237208.0,919832.1424,10926.1811,Crosslink Only,57.57365695,223.2559619,374.5526127,21564.36364,83621.10385,0.257881834,3.877745027,1.0,109042,Inner Well,Batch-Concurrent Frac,Infill Child Well,Primary Frac,29.0,1108309.524,826500.3709,1110323.337,825990.2792,252.1309914
4567,4567,1105915.52,828469.5915,1110619.423,827771.3741,1213,4011.811024,10.0,323117.2857,1350809.709,10940.94488,Crosslink Only,80.54150203,336.70821010000003,401.1811024,32311.72857,135080.9709,0.239202668,4.180555386,1.0,103716,Inner Well,Batch-Concurrent Frac,Sibling Well,Primary Frac,28.0,1108579.902,827912.7524,1110522.226,827441.1099,215.8095572
4587,4587,1124616.427,809344.0533,1129138.102,808681.0704,1213,3959.645669,11.0,236113.7143,903061.1398,10870.07874,Undefined,59.63001087,228.0661491,359.9677881,21464.88312,82096.46725,0.261459279,3.824687365,1.0,115872,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,26.0,1127216.114,808805.5832,1129087.798,808354.4471,133.08335390000002
4593,4593,1106097.307,832353.8342,1101440.318,833070.7015,1213,4176.1811020000005,11.0,237459.2143,1034144.66,10894.68504,Crosslink Only,56.86037278,247.62926580000004,379.6528275,21587.2013,94013.15091,0.229618953,4.355041194,1.0,116717,Inner Well,Batch-Sequential Frac,Infill Child Well,Primary Frac,30.0,1103494.27,832934.2131,1101504.912,833406.4764,207.7143179
4594,4594,1106286.544,833664.0477,1101582.326,834334.8977,1213,3827.755906,11.0,194518.9286,1679087.581,10986.22047,Crosslink Only,50.81800757,438.6610909,347.97780960000006,17683.538959999998,152644.3256,0.115847994,8.632000976,1.0,105068,Outer Well,Batch-Sequential Frac,Sibling Well,Primary Frac,25.0,1103496.031,834344.7888,1101644.387,834671.7779999999,214.0107474
4595,4595,1106475.381,834971.194,1101833.289,835664.3454,1213,4098.425197,11.0,81165.71429,1700906.049,10928.14961,Crosslink Only,19.80412241,415.0145403,372.5841088,7378.701298999999,154627.8226,0.047719105,20.95596723,1.0,113361,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,29.0,1098400.649,836626.4489,1096445.785,837035.0086,289.2143305
4596,4596,1252732.707,721952.0396,1253353.732,726702.2508,1213,4046.259843,14.0,455052.4286,1866029.789,9074.80315,Undefined,112.462483,461.1739882,289.0185602,32503.7449,133287.8421,0.243861288,4.100691858,1.0,117854,Outer Well,Batch-Concurrent Frac,Sibling Well,Primary Frac,37.0,1253220.271,724626.3193,1253575.588,726664.2724,388.0595839
4597,4597,1251357.84,722387.255,1251869.769,726917.0424,1213,3959.645669,14.0,446898.5714,1712455.765,9040.354331,Undefined,112.8632733,432.4770214,282.8318335,31921.32653,122318.2689,0.26096941,3.831866724,1.0,105517,Outer Well,Batch-Concurrent Frac,Sibling Well,Primary Frac,39.0,1251865.601,725034.7033,1252209.844,726857.7337,250.2024197
4602,4602,1087586.494,779281.6559,1077671.41,780778.2732,1213,9242.125984,24.0,340045.6429,3948665.468,10350.3937,Undefined,36.79301098,427.2464447,385.0885827,14168.56845,164527.7278,0.0861166,11.61216311,2.0,107131,Outer Well,Batch-Sequential Frac,Sibling Well,Primary Frac,32.0,1082366.642,780358.4975,1077807.475,781491.3940000001,401.2286335
4603,4603,1087338.643,777629.3904,1077472.0359999998,779484.3737,1213,9264.76378,24.0,207539.0714,3683823.57,10412.40157,Crosslink Only,22.40090264,397.6165672,386.0318241000001,8647.461309999999,153492.6488,0.056337951,17.75002434,2.0,107193,Inner Well,Non-Batch Frac,Infill Child Well,Primary Frac,21.0,1082074.374,778979.8745,1077632.802,780191.7351,481.0595983
4604,4604,1086909.199,774702.9078,1082203.905,775340.36,1213,4114.173228000001,11.0,473621.1429,1764822.154,10341.53543,Crosslink Only,115.1193974,428.9615571000001,374.015748,43056.46753,160438.3776,0.2683676319999999,3.72623178,1.0,103462,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,22.0,1084089.032,775254.2054,1082103.848,775612.4512,305.916714
4611,4611,1219953.068,929894.8275,1224519.858,929185.2909,1018,3700.787402,16.0,150100.0,1317593.204,6816.929134,Slickwater Crosslink Hybrid,40.55893617,356.030504,231.2992126,9381.25,82349.57523999999,0.113919835,8.778102624,1.0,105392,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,29.0,1222513.093,929289.4886,1224465.642,928910.2666,7.833334546000001
4618,4618,1128640.03,836983.5105,1133156.571,835986.3819,1213,3413.3858270000005,13.0,238709.0,1196429.685,10379.92126,Slickwater Crosslink Hybrid,69.93320185,350.5111188,262.5681405,18362.23077,92033.0527,0.1995177839999999,5.012084526000001,1.0,117674,Outer Well,Non-Batch Frac,Sibling Well,Primary Frac,11.0,1131181.955,836249.0681,1133071.706,835661.859,307.5833809
